p sp 1000 299581
a 1 2 0
a 1 8 480
a 1 10 511
a 1 13 441
a 1 22 157
a 1 23 496
a 1 30 912
a 1 31 412
a 1 32 103
a 1 33 659
a 1 34 789
a 1 35 686
a 1 38 619
a 1 47 414
a 1 51 559
a 1 54 512
a 1 55 281
a 1 57 771
a 1 58 173
a 1 65 971
a 1 66 515
a 1 67 713
a 1 68 252
a 1 70 893
a 1 72 298
a 1 75 935
a 1 79 41
a 1 81 643
a 1 84 232
a 1 89 826
a 1 94 92
a 1 97 347
a 1 101 480
a 1 103 795
a 1 104 126
a 1 105 539
a 1 106 891
a 1 107 165
a 1 109 231
a 1 112 752
a 1 113 606
a 1 114 3
a 1 123 806
a 1 125 864
a 1 126 99
a 1 129 532
a 1 131 974
a 1 133 244
a 1 137 464
a 1 139 722
a 1 149 172
a 1 151 894
a 1 154 444
a 1 157 1
a 1 163 594
a 1 167 859
a 1 169 365
a 1 173 496
a 1 179 197
a 1 181 869
a 1 182 407
a 1 192 239
a 1 195 838
a 1 201 305
a 1 212 723
a 1 217 804
a 1 219 211
a 1 222 61
a 1 223 858
a 1 226 667
a 1 229 122
a 1 232 528
a 1 237 381
a 1 241 971
a 1 246 15
a 1 253 655
a 1 254 930
a 1 263 643
a 1 265 773
a 1 275 449
a 1 280 18
a 1 281 157
a 1 285 40
a 1 286 60
a 1 291 417
a 1 293 545
a 1 295 54
a 1 298 920
a 1 300 206
a 1 302 833
a 1 307 658
a 1 308 437
a 1 311 812
a 1 317 224
a 1 322 81
a 1 328 347
a 1 329 234
a 1 330 936
a 1 331 97
a 1 339 329
a 1 346 13
a 1 356 131
a 1 359 993
a 1 360 62
a 1 361 712
a 1 362 326
a 1 367 1
a 1 374 801
a 1 378 200
a 1 386 697
a 1 387 704
a 1 393 291
a 1 394 650
a 1 395 428
a 1 399 708
a 1 400 980
a 1 405 439
a 1 408 378
a 1 414 960
a 1 417 856
a 1 423 43
a 1 424 139
a 1 425 710
a 1 427 275
a 1 436 12
a 1 437 889
a 1 438 217
a 1 439 861
a 1 442 356
a 1 443 130
a 1 453 979
a 1 455 891
